ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
LUV,2024-03-14,16:41:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-03-14,16:41:07,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-06-06,10:03:55,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.43,labor-issues,,Reconnaissance Energy: Chairman Craig Steinke Retiring,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy: Chairman Craig Steinke Retiring
LUV,2024-06-06,10:04:16,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.47,labor-issues,,Reconnaissance Energy Names Diana McQueen as Chair,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Names Diana McQueen as Chair
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
LUV,2024-03-14,16:41:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-03-14,16:41:07,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-06-06,10:03:55,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.43,labor-issues,,Reconnaissance Energy: Chairman Craig Steinke Retiring,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy: Chairman Craig Steinke Retiring
LUV,2024-06-06,10:04:16,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.47,labor-issues,,Reconnaissance Energy Names Diana McQueen as Chair,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Names Diana McQueen as Chair
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
LUV,2024-03-14,16:41:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-03-14,16:41:07,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-06-06,10:03:55,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.43,labor-issues,,Reconnaissance Energy: Chairman Craig Steinke Retiring,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy: Chairman Craig Steinke Retiring
LUV,2024-06-06,10:04:16,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.47,labor-issues,,Reconnaissance Energy Names Diana McQueen as Chair,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Names Diana McQueen as Chair
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
LUV,2024-03-14,16:41:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-03-14,16:41:07,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-06-06,10:03:55,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.43,labor-issues,,Reconnaissance Energy: Chairman Craig Steinke Retiring,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy: Chairman Craig Steinke Retiring
LUV,2024-06-06,10:04:16,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.47,labor-issues,,Reconnaissance Energy Names Diana McQueen as Chair,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Names Diana McQueen as Chair
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
LUV,2024-03-14,16:41:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-03-14,16:41:07,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-06-06,10:03:55,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.43,labor-issues,,Reconnaissance Energy: Chairman Craig Steinke Retiring,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy: Chairman Craig Steinke Retiring
LUV,2024-06-06,10:04:16,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.47,labor-issues,,Reconnaissance Energy Names Diana McQueen as Chair,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Names Diana McQueen as Chair
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
LUV,2024-03-14,16:41:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-03-14,16:41:07,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-06-06,10:03:55,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.43,labor-issues,,Reconnaissance Energy: Chairman Craig Steinke Retiring,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy: Chairman Craig Steinke Retiring
LUV,2024-06-06,10:04:16,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.47,labor-issues,,Reconnaissance Energy Names Diana McQueen as Chair,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Names Diana McQueen as Chair
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
LUV,2024-03-14,16:41:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-03-14,16:41:07,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.65,equity-actions,halt,Trading Halt - RECO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - RECO
LUV,2024-06-06,10:03:55,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.43,labor-issues,,Reconnaissance Energy: Chairman Craig Steinke Retiring,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy: Chairman Craig Steinke Retiring
LUV,2024-06-06,10:04:16,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.47,labor-issues,,Reconnaissance Energy Names Diana McQueen as Chair,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Names Diana McQueen as Chair
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-07-17,05:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,100,0.65,acquisitions-mergers,,Bw Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: BW Energy: Signs Letter Agreement to acquire shares in Reconnaissance Energy Africa and 20% interest in onshore exploration license PEL 73 in Namibia
LUV,2024-08-01,11:30:00,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,GlobeNewswire,BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-08-01,11:30:01,B3FF03,Reconnaissance Energy Africa Ltd.,95,0.57,acquisitions-mergers,completed,Bw ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY,PRESS-RELEASE,Dow Jones Newswires,Press Release: BW ENERGY COMPLETES ACQUISITION OF SECURITIES OF RECONNAISSANCE ENERGY
LUV,2024-02-23,13:31:04,B3FF03,Reconnaissance Energy Africa Ltd.,100,-0.51,labor-issues,,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd,NEWS-FLASH,Dow Jones Newswires,Reconnaissance Energy Announces Resignation of Mark Gerlitz From Bd >RECO.V
