ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-01-07,22:01:57,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qad Acquires Corum,PRESS-RELEASE,GlobeNewswire,"QAD Acquires Corum Client, Allocation Network, a Strategic Sourcing and Supplier Management Solution Provider"
COO,2021-11-02,21:07:16,50ABC9,Cosmos Ltd.,99,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Corum Client AVATA Acquired by Rockwell Automation
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.65,acquisitions-mergers,,Qualcomm Acquires Corum,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
COO,2021-11-23,20:16:11,50ABC9,Cosmos Ltd.,100,0.58,acquisitions-mergers,completed,Corum has completed over $10B in software M&A transactions,PRESS-RELEASE,GlobeNewswire,Qualcomm Acquires Corum's Client Clay AIR
